34.509201049805,15.378999710083,-24.995000839233
34.592399597168,-2.613199949265,-25.163499832153
22.083499908447,-18.930400848389,-19.916299819946
13.390399932861,-25.348300933838,-18.160299301147
0.346312999725,-23.047899246216,-8.898500442505
-13.057000160217,-27.715599060059,-13.073100090027
-25.709999084473,-21.040800094604,-20.922500610352
-26.771900177002,-6.199649810791,-23.779199600220
-28.853200912476,7.766270160675,-23.660900115967
-14.047800064087,8.354709625244,-22.061899185181
-10.189700126648,-7.676040172577,-21.469100952148
-3.937560081482,-12.230699539185,-19.553300857544
14.302800178528,-13.278400421143,-24.262899398804
20.624500274658,-7.078750133514,-27.847499847412
20.660499572754,10.331899642944,-27.106700897217
-10.449700355530,22.249099731445,-12.522100448608
-8.014920234680,23.286300659180,-1.598510026932
-7.605189800262,14.053899765015,-13.026499748230
-6.497700214386,17.275400161743,-3.582580089569
-2.616980075836,11.563099861145,-4.657899856567
10.465999603271,27.306299209595,-4.114560127258
11.490599632263,24.959499359131,-12.443400382996
13.282600402832,18.749099731445,-3.356630086899
13.102899551392,17.735700607300,-9.502380371094
10.827199935913,13.206399917603,-6.859920024872
27.343599319458,-23.182199478149,-9.926939964294
34.575801849365,-16.592899322510,-9.955869674683
38.342899322510,-8.846859931946,-8.098509788513
43.322799682617,0.730232000351,-9.196660041809
44.456100463867,15.949799537659,-7.827209949493
-16.178199768066,-31.619100570679,25.844800949097
-18.135200500488,-35.408199310303,9.549500465393
-20.576999664307,-35.763900756836,-2.724669933319
-2.204570055008,-30.989900588989,32.586799621582
1.528270006180,-30.517700195313,20.198699951172
0.837279975414,-30.328800201416,3.450439929962
14.996800422668,-23.138599395752,33.756000518799
17.502099990845,-22.703100204468,24.292999267578
21.892099380493,-24.696399688721,12.478599548340
25.043100357056,-26.041500091553,2.219969987869
